French	English
partie	part
histoire	history
chercher	search
seulement	only
police	police
pensais	thought
aide	help
demande	request
genre	kind
mois	month
fr癡re	brother
laisser	let
car	because
mettre	to put
aucun	no
laisse	leash
eux	them
ville	city
chaque	each
parl矇	speak
arriv矇	come
devrait	should
b矇b矇	baby
longtemps	long time
heures	hours
vont	will
pendant	while
revoir	meet again
aucune	any
place	square
parle	speak
compris	understood
savais	knew
矇taient	were
attention	Warning
voici	here is
pourrais	could
affaire	case
donner	give
type	type
leurs	their
donn矇	given
train	train
corps	body
endroit	place
yeux	eyes
fa癟on	way
矇coute	listen
dont	whose
trouve	find
premier	first
perdu	lost
main	hand
premi癡re	first
c繫t矇	side
pouvoir	power
vieux	old
sois	be
tiens	here
matin	morning
tellement	so much
enfant	child
point	point
venu	came
suite	after
pardon	sorry
venez	come
devant	in front of
vers	towards
minutes	minutes
demand矇	request
chambre	bedroom
mis	placed
belle	beautiful
droit	law
aimerais	would like to
aujourd'hui	today
mari	husband
cause	cause
enfin	finally
esp癡re	hope
eau	water
attendez	Wait
parti	left
nouvelle	new
boulot	job
arr礙ter	Stop
dirait	would say
terre	Earth
compte	account
donne	given
loin	far
fin	end
croire	believe
ch矇rie	sweetheart
gros	large
plut繫t	rather
aura	will have
filles	girls
jouer	to play
bureau	office
